SENTTOT,SENTTOT0,CITIZEN,CITWHERE,CRIMHIST,DISTRICT,DOBMON,EDUCATN,ENCRYPT2,HISPORIG,INOUT,NEWRACE,OFFTYPSB,SENTIMP,SENTMON,DOBYR,SENTYR
3.76,3.76,3,49,1,42,8,9,0,2,0,3,27,1,10,1979,2016
188,188,3,49,1,40,7,6,0,2,,3,10,1,10,1984,2016
18,18,1,211,1,46,4,21,0,1,,2,18,1,10,1967,2016
196,196,1,211,1,75,9,21,0,2,,3,10,1,10,1968,2016
45,45,1,211,0,40,8,34,0,2,,3,18,1,10,1993,2016
44,44,1,211,1,12,12,34,0,1,,1,6,1,10,1978,2016
4.79,4.79,3,49,1,42,10,9,0,2,0,3,27,1,10,1990,2016
4,4,3,49,1,42,4,8,0,2,0,3,27,1,10,1977,2016
6,6,3,49,1,70,8,11,0,2,,3,27,1,10,1992,2016
15,15,3,49,1,70,7,6,0,2,,3,27,1,10,1976,2016
9.13,9.13,2,49,0,70,12,10,0,2,0,3,30,1,10,1994,2016
,0,1,211,1,83,5,12,0,1,1,1,19,4,10,1990,2016
262,262,1,211,1,20,1,11,0,1,,2,10,1,10,1982,2016
8,8,1,211,1,23,7,23,0,1,,1,10,1,10,1982,2016
151,151,1,211,1,19,10,10,0,1,,1,10,1,10,1977,2016
6,6,1,211,0,12,10,34,0,1,,2,18,2,10,1977,2016
46,46,1,211,1,20,3,11,0,1,,2,10,1,10,1983,2016
188,188,1,211,1,20,7,21,0,1,,2,10,1,10,1976,2016
210,210,1,211,1,20,4,21,0,1,,2,10,1,10,1976,2016
,0,1,211,0,47,8,12,0,1,,1,31,4,10,1981,2016
57,57,1,211,1,62,3,21,0,1,,2,13,1,10,1987,2016
78,78,1,211,1,20,3,9,0,1,,2,10,1,10,1986,2016
5,5,1,211,1,84,1,32,0,2,,3,27,2,10,1997,2016
151,151,1,211,1,20,6,8,0,1,,2,10,1,10,1975,2016
13,13,1,211,1,20,11,12,0,1,,2,11,1,10,1964,2016
1.41,1.41,3,49,1,84,12,6,0,2,0,3,27,1,10,1983,2016
65,65,1,211,1,12,2,21,0,2,,3,10,1,10,1983,2016
15,15,1,211,0,41,4,11,0,2,,3,27,1,10,1993,2016
1.59,1.59,3,49,1,84,1,6,0,2,0,3,27,1,10,1988,2016
,0,1,211,0,29,5,34,0,1,1,1,35,4,10,1993,2016
36,36,1,211,1,83,12,12,0,1,,2,13,1,10,1978,2016
3.43,3.43,3,49,1,41,5,,0,2,0,3,27,1,10,1991,2016
37,37,1,211,1,44,10,12,0,2,,3,10,1,10,1969,2016
18,18,1,211,1,84,7,9,0,2,,3,27,1,10,1976,2016
8,8,3,49,1,42,3,9,0,2,0,3,27,1,10,1984,2016
63,63,1,211,1,41,9,9,0,2,,3,10,1,10,1987,2016
